graph_id,node_index,x,y,loss
sky130_fd_sc_hd__a2111oi_1,0,2.1623285,0.0,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,1,1.4859555,0.0,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,2,0.0,0.0,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,3,0.0,0.0,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,4,0.0,0.0,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,5,2.0787396,1.1075455,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,6,1.777534,1.1322687,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,7,0.44645098,1.1871362,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,8,1.6760837,1.1281717,0.7199277281761169
sky130_fd_sc_hd__a2111oi_1,9,1.3766404,1.0190228,0.7199277281761169
sky130_fd_sc_hd__a221o_4,0,4.34365,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,1,4.3436494,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,2,2.7245924,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,3,2.7245924,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,4,1.1503308,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,5,1.1503308,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,6,2.4779203,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,7,2.4779203,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,8,2.3178616,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,9,2.3178616,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,10,0.0,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,11,0.0,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,12,0.0,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,13,0.0,0.0,1.9225401878356934
sky130_fd_sc_hd__a221o_4,14,3.6337376,1.1173687,1.9225401878356934
sky130_fd_sc_hd__a221o_4,15,3.524996,1.1866132,1.9225401878356934
sky130_fd_sc_hd__a221o_4,16,2.6845906,1.1382133,1.9225401878356934
sky130_fd_sc_hd__a221o_4,17,2.6845906,1.1382133,1.9225401878356934
sky130_fd_sc_hd__a221o_4,18,2.426067,1.051857,1.9225401878356934
sky130_fd_sc_hd__a221o_4,19,1.9070759,0.9642397,1.9225401878356934
sky130_fd_sc_hd__a221o_4,20,1.71071,1.1243418,1.9225401878356934
sky130_fd_sc_hd__a221o_4,21,1.662785,1.1325065,1.9225401878356934
sky130_fd_sc_hd__a221o_4,22,1.6723194,1.1109858,1.9225401878356934
sky130_fd_sc_hd__a221o_4,23,1.6556984,1.1101074,1.9225401878356934
sky130_fd_sc_hd__a221o_4,24,1.2649924,0.99941295,1.9225401878356934
sky130_fd_sc_hd__a221o_4,25,1.2649925,0.99941295,1.9225401878356934
sky130_fd_sc_hd__a221o_4,26,1.2648778,0.9994247,1.9225401878356934
sky130_fd_sc_hd__a221o_4,27,1.147673,0.96756876,1.9225401878356934
sky130_fd_sc_hd__a311oi_2,0,2.5160801,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,1,2.5160801,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,2,2.5093706,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,3,2.5093706,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,4,2.138565,0.064405814,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,5,2.1385653,0.064405814,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,6,1.7005962,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,7,1.7005963,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,8,0.0,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,9,0.0,0.0,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,10,2.4698393,0.8080141,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,11,2.1739585,0.6747452,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,12,2.843451,1.0601721,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,13,2.434201,1.0968417,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,14,1.4427544,1.1317765,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,15,1.643784,1.1404525,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,16,1.0228752,1.1343353,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,17,1.1239766,1.1446289,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,18,0.71311074,1.1108267,0.8466763496398926
sky130_fd_sc_hd__a311oi_2,19,0.08481838,1.1106055,0.8466763496398926
sky130_fd_sc_hd__and2_2,0,0.0,0.0,1.1194757223129272
sky130_fd_sc_hd__and2_2,1,0.0,0.0,1.1194757223129272
sky130_fd_sc_hd__and2_2,2,0.0,0.0,1.1194757223129272
sky130_fd_sc_hd__and2_2,3,0.0,0.0,1.1194757223129272
sky130_fd_sc_hd__and2_2,4,0.05427379,0.97301936,1.1194757223129272
sky130_fd_sc_hd__and2_2,5,0.05427379,0.97301936,1.1194757223129272
sky130_fd_sc_hd__and2_2,6,0.0,1.166919,1.1194757223129272
sky130_fd_sc_hd__and2_2,7,0.0,1.0383956,1.1194757223129272
sky130_fd_sc_hd__decap_8,0,0.0,0.41503173,0.09939417243003845
sky130_fd_sc_hd__decap_8,1,0.0,1.3937888,0.09939417243003845
sky130_fd_sc_hd__dfrtp_1,0,4.0385733,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,1,3.0873027,0.26306346,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,2,4.022696,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,3,4.0038285,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,4,3.380364,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,5,3.255811,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,6,4.422019,1.2470144,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,7,2.7215748,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,8,4.0477347,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,9,3.2853572,0.43597496,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,10,3.0293732,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,11,2.9397917,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,12,3.3898134,1.342275,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,13,4.182198,1.3599719,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,14,3.4454834,1.3582879,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,15,2.887073,1.3655416,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,16,2.9217517,1.2591089,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,17,2.2334843,1.3246516,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,18,2.3310022,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,19,1.516261,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,20,0.520715,0.0,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,21,3.7738702,1.3713443,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,22,3.3041186,1.3569958,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,23,2.7300436,1.3524654,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,24,3.1488106,1.2259431,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,25,2.5842135,1.1698483,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,26,0.89625925,1.3744512,2.9814982414245605
sky130_fd_sc_hd__dfrtp_1,27,1.6061742,1.3200324,2.9814982414245605
sky130_fd_sc_hd__dfxbp_1,0,3.7491996,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,1,5.162084,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,2,4.858583,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,3,4.44206,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,4,4.9488325,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,5,2.9194906,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,6,2.8054588,0.0,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,7,3.5824103,1.2202411,1.789968490600586
sky130_fd_sc_hd__dfxbp_1,8,4.860581,1.1693014,1.789968490600586
